,epsilon,prob_mask,reward
88,0.3372302026108891,[0.94654535 0.05345465],9.199999999999983
89,0.196376144487868,[0.6478123 0.3521877],3.8999999999999986
90,0.1417858399364106,[0.62302239 0.37697761],4.699999999999996
91,0.0480452928874525,[0.86414385 0.13585615],8.399999999999986
92,0.4036982597578916,[0.72508205 0.27491795],3.8999999999999986
93,0.28744666234682853,[9.99957273e-01 4.27273228e-05],110.89999999999834
94,0.46952125607739326,[0.87878614 0.12121386],3.8999999999999986
95,0.3237956733567086,[0.83873318 0.16126682],0.9000000000000004
96,0.2173569512129894,[0.66972086 0.33027914],-2.699999999999998
97,0.5472272132682507,[0.6198307 0.3801693],-2.699999999999998
98,0.2208342782826835,[0.69469522 0.30530478],4.299999999999997
99,0.2457133446618382,[0.64314428 0.35685572],3.8999999999999986
100,0.04324378676752478,[0.74560349 0.25439651],6.799999999999992
